champion_name,champion_id,matches_played,wins,winrate,avg_kills,avg_deaths,avg_assists
Morgana,25,3591,1764,49.12,2.92,5.72,12.43
Ivern,427,3540,1797,50.76,2.58,4.18,13.21
Yorick,83,3471,1614,46.5,3.78,4.8,4.43
Maokai,57,3351,1671,49.87,2.36,6.2,12.23
Kennen,85,3179,1604,50.46,5.82,5.81,5.91
Evelynn,28,3153,1532,48.59,8.33,5.12,6.54
Volibear,106,3150,1475,46.83,5.27,5.97,5.05
Lillia,876,3117,1530,49.09,5.98,4.8,8.24
Vex,711,2961,1512,51.06,7.13,6.22,7.02
Kled,240,2723,1370,50.31,5.65,5.63,5.85
Heimerdinger,74,2652,1340,50.53,5.44,6.0,5.93
Trundle,48,2406,1182,49.13,4.59,5.62,6.19
Azir,268,2344,1086,46.33,5.76,6.0,5.39
Sejuani,113,2333,1101,47.19,4.34,4.89,10.63
Taric,44,2288,1171,51.18,1.52,5.56,14.72
Amumu,32,2259,1082,47.9,3.18,6.83,11.55
Illaoi,420,2202,1088,49.41,5.03,6.18,3.77
Renata,888,1770,878,49.6,1.48,5.45,14.83
Nilah,895,1500,743,49.53,7.32,6.31,5.64
Rammus,33,1268,633,49.92,3.73,4.93,11.65
